_id,title,capacity,legal_status,prixMin,coordinates.street,coordinates.postcode,coordinates.deptcode,,coordinates.deptname,coordinates.city,coordinates.phone,coordinates.emailContact,coordinates.gestionnaire,coordinates.website
17,Accueil de jour Aux Lucioles,18,Privé non lucratif,,Rue du Collège,01600,01,1,AIN,REYRIEUX,04 74 00 85 01,auxlucioles@orange.fr,Association de Gestion Accueil de Jour,
35,Accueil de jour Lou-Ve-Nou,12,Privé non lucratif,,220 rue de l'Ancien collège,01560,01,1,AIN,ST TRIVIER DE COURTES,06 71 40 93 06,accueil@fede01.admr.org,Association ADMR des Pays de Bresse,
36,Accueil de jour Réseau Mnemosis,12,Privé non lucratif,,57 rue de Genève Bâtiment Saints-Anges,01170,01,1,AIN,GEX,04 50 20 15 15,lereseaumnemosis@orange.fr,Le Reseau Mnemosis,
24,Accueil de jour autonome l'Entre-Temps,10,Public,,30 Impasse de la Croix du creux,01750,01,1,AIN,REPLONGES,03 85 33 53 17,direction@ajmarpa.fr,Communauté Communes du Pays Bagé,
19,Accueil de jour de Belley,10,Privé non lucratif,,40 rue du Bon-Repos,01300,01,1,AIN,BELLEY,04 79 81 05 71,adj.belley@ccass.org,Association Santé et Bien-Être,
34,Accueil de jour les Jardins d'Aloïs,12,Privé non lucratif,,26 boulevard Dupuy,01100,01,1,AIN,OYONNAX,04 74 73 90 13,lesjardinsdalois@gmail.com,Association de Gerontologie Bassin d'Oyonnax,
62,EHPAD - Croix-Rouge francaise,67,Privé non lucratif,,589 rue de Musinens,01200,01,1,AIN,BELLEGARDE SUR VALSERINE,04 50 48 07 30,mr.bellegarde@croix-rouge.fr,Croix-Rouge française,https://pourvous.croix-rouge.fr/etablissement-d-hebergement-pour-personnes-agees-dependantes-de-bellegarde
61,EHPAD Ary Geoffray,90,Privé non lucratif,1998.8999999999999,1405 route Noblens,01250,01,1,AIN,VILLEREVERSURE,04 74 47 70 70,secretariat@arygeoffray.fr,AMAV Villereversure,
63,EHPAD Bon Repos,105,Privé non lucratif,1933.1999999999998,2 Rue Docteur Roux,01000,01,1,AIN,BOURG EN BRESSE,04 74 32 77 00,bon.repos@lebonrepos.fr,Association Le Bon Repos,http://www.lebonrepos.fr
73,EHPAD Bon Repos,60,Privé non lucratif,1819.8000000000002,40 rue du Bon-Repos,01300,01,1,AIN,BELLEY,04 79 81 05 71,mdrbonreposbelley@wanadoo.fr,L'Union Santé et Bien-être,
51,EHPAD Bon accueil,93,Public,1956.8999999999996,34 Rue Charles de Gaulle,01150,01,1,AIN,LAGNIEU,04 74 40 33 00,direction@ehpad-lagnieu.fr,EHPAD Bon accueil,
47,EHPAD Bâgé-le-Châtel,95,Public,1781.3999999999999,74 rue Condamnale,01380,01,1,AIN,BAGE LE CHATEL,03 85 51 45 93,contact@ehpadbage.fr,Maison de Retraite Bage-Le-Chatel,
77,EHPAD Centre hospitalier Belley,185,Public,1739.7,52 Rue Georges Girerd,01300,01,1,AIN,BELLEY,04 79 42 59 59,direction@ch-belley.fr,CH Docteur Récamier,http://www.ch-belley.fr
66,EHPAD Centre hospitalier de Pont de Veyle,113,Public,1839.6,Rue Pierre Goujon,01290,01,1,AIN,PONT DE VEYLE,03 85 36 23 50,info@ch-avs.fr,Centre hospitalier Intercommunal Ain Val de Saône,http://www.ch-avs.fr
67,EHPAD Centre hospitalier de Thoissey,171,Public,1839.6,11 rue de l'Hôpital,01140,01,1,AIN,THOISSEY,04 74 04 99 00,info@ch-avs.fr,Centre Hospitalier Intercom Ain Val de Saône,http://www.ch-avs.fr
17632,EHPAD Château d'Angeville,50,Privé non lucratif,2107.1999999999998,Rue du 11 Novembre,01110,01,1,AIN,HAUTEVILLE LOMPNES,04 74 40 43 00,accueil.angeville@croix-rouge.fr,Croix-Rouge Française,http://chateau-angeville.croix-rouge.fr/
104,EHPAD Château de Valence,72,Privé non lucratif,2068.1999999999998,Place de la Mairie,01640,01,1,AIN,JUJURIEUX,04 74 36 89 01,direction@chateaudevalence.fr,Association Ch.De Valence Jujurieux,http://www.chateauvalence.fr
65,EHPAD Clairval,190,Public,1894.2,941 Chemin de Veissieux le Haut,01600,01,1,AIN,REYRIEUX,04 74 10 53 00,direction.trevoux@lhopitalnordouest.fr,CH de Trévoux,
81,EHPAD Cornillon,81,Public,1690.1999999999998,38 rue des Otages,01230,01,1,AIN,ST RAMBERT EN BUGEY,04 74 37 43 00,hop.cornillon@wanadoo.fr,M.R. de St Rambert En Bugey,https://hopcornillon.wixsite.com/mr-st-rambert-bugey
64,EHPAD Emile Pélicand,177,Public,1623.3,10 avenue Louis-Jourdan,01000,01,1,AIN,BOURG EN BRESSE,04 74 45 46 47,dirg@ch-bourg01.fr,Centre hospitalier Fleyriat,http://www.ch-bourg-en-bresse.fr
49,EHPAD Fondation Costaz,131,Public,1960.5000000000002,116 Avenue des Frères Costaz,01260,01,1,AIN,CHAMPAGNE EN VALROMEY,04 79 87 61 41,mdrcostaz@orange.fr,Maison de Retraite Champagne,http://www.mdr-champagnevalromey.fr
126,EHPAD Korian Home de Cortefredone,30,Privé commercial,3124.2,Le Bourg,01310,01,1,AIN,CURTAFOND,04 74 25 75 36,,Groupe Korian,https://www.korian.fr/maison-retraite/ehpad-korian-home-de-cortefredone-curtafond-01310/
127,EHPAD Korian Jardin de Brou,104,Privé commercial,3034.5,19 boulevard de l'Hippodrome,01000,01,1,AIN,BOURG EN BRESSE,04 74 22 88 00,,Groupe Korian,https://www.korian.fr/maison-retraite/ehpad-korian-jardin-de-brou-bourg-en-bresse-01000/
14,EHPAD L'Ambarroise,60,Privé commercial,3154.7999999999997,58 Avenue Paul Painleve,01500,01,1,AIN,AMBERIEU EN BUGEY,04 74 46 11 11,direction.amberieu@orpea.net,SAS Résidence L'Ambroise,
59,EHPAD La Catherinette,80,Public,1976.3999999999999,,01160,01,1,AIN,PONT D AIN,04 74 39 05 75,contact@ehpad-pontdain.fr,Maison de Retraite Pont d'Ain,
56,EHPAD La Maison à Soie,65,Public,1807.5,2 Chemin de la Soie,01230,01,1,AIN,TENAY,04 74 36 59 00,ehpadtenay@maisonsoie.fr,EHPAD La Maison à Soie,http://www.maisonsoie.fr
94,EHPAD La Montagne,210,Public,1965.9,Route de Relevant,01400,01,1,AIN,CHATILLON SUR CHALARONNE,04 74 55 00 44,mrlamontagne@mrchatillon.fr,Maison de Retraite la Montagne,http://www.ehpad-lamontagne.fr/
53,EHPAD La Rivére d'argent,65,Public,1763.4,72 rue de Lyon,01090,01,1,AIN,MONTMERLE SUR SAONE,04 74 69 37 49,ehpadmontmerle@orange.fr,Maison de Retraite Montmerle,
84,EHPAD La Rose d'Or,80,Public,1762.8,10 Rue du Guichardet,01800,01,1,AIN,MEXIMIEUX,04 74 46 07 60,hlmeximieux@hopitalmeximieux.org,CH de Meximieux,
